,principal component 1,principal component 2,principal component 3,principal component 4,LA,minisom_cluster,,cluster info
312,-0.415010138,1.288028981,-0.247984316,-0.101955397,Wealden,9,,
313,-0.88862349,-0.426114189,0.289017862,2.964435195,Wolverhampton,9,,
314,3.617685453,0.152932873,-0.171353011,0.235047289,Buckinghamshire,10,,
315,-1.081534825,-1.225012577,-1.086418765,0.468146673,Cardiff,10,,
316,-0.415485668,0.665633317,0.32177116,0.241938248,Charnwood,10,,
317,1.00349815,2.347850211,1.057929611,-0.116752751,,10,,
318,0.295914097,0.360270081,0.748053888,-0.31042598,County Durham,10,,
319,-1.942085158,-1.641396178,0.003121604,0.503287227,Lambeth,10,,
320,0.797439943,-0.83490744,0.795106132,-0.997784645,Lancaster,10,,
321,0.564443546,1.300381946,-1.802433959,0.263906923,Lincoln,10,,
322,0.757122067,-1.855264553,0.179882458,0.504081997,Newark and Sherwood,10,,
323,0.862440209,-1.309027632,1.797860827,-0.600013141,North Norfolk,10,,
324,-0.887180753,0.594643885,-0.08718465,-0.176894771,Powys,10,,
325,-1.257667648,-2.00988899,0.50802862,0.344201272,West Lindsey,10,,
326,-1.183083027,1.484017201,-1.245078579,-0.317416702,Wyre Forest,10,,
327,-2.222118608,0.875410008,0.184765945,-0.371732502,Cambridge,11,,similar to cluster 5 in kmeans
328,-1.74833083,-0.638328812,0.220287503,-0.249796253,Oldham,11,,
329,1.428888038,0.057285528,1.228810411,0.592497751,Richmond upon Thames,11,,
